Date,Open,High,Low,Close,Volume
2017-05-16,1476.5,1500.0,1468.1,1483.4,2779811
2017-05-17,1483.95,1483.95,1451.05,1454.65,3409548
2017-05-18,1438.0,1443.9,1393.0,1401.15,4999486
2017-05-19,1412.75,1455.0,1405.25,1430.1,5976947
2017-05-22,1443.8,1450.55,1398.0,1405.8,2527715
2017-05-23,1411.0,1418.0,1376.25,1403.15,2874605
2017-05-24,1408.05,1444.0,1398.05,1425.05,2979073
2017-05-25,1434.0,1470.0,1430.6,1464.25,3908523
2017-05-26,1469.8,1500.0,1455.05,1493.6,2496569
2017-05-29,1493.6,1493.7,1433.15,1438.3,2027477
2017-05-30,1436.0,1461.0,1432.05,1438.35,1662115
2017-05-31,1442.0,1448.4,1409.25,1431.35,2394802
2017-06-01,1430.0,1450.0,1421.05,1444.6,2107031
2017-06-02,1456.7,1487.5,1445.3,1481.75,2601728
2017-06-05,1483.0,1526.3,1481.75,1523.55,3285941
2017-06-06,1525.0,1532.45,1498.8,1506.15,1682050
2017-06-07,1519.95,1520.15,1481.1,1493.75,1849080
2017-06-08,1499.0,1501.7,1467.35,1476.2,1911432
2017-06-09,1479.7,1498.95,1475.2,1488.8,2016761
2017-06-12,1481.0,1504.3,1470.45,1483.6,1610913
2017-06-13,1488.5,1510.95,1487.5,1493.85,1412263
2017-06-14,1496.05,1499.75,1445.0,1449.0,3537948
2017-06-15,1449.0,1450.0,1431.0,1446.15,2779879
2017-06-16,1449.0,1458.35,1437.0,1443.5,2925673
2017-06-19,1454.0,1455.75,1425.6,1430.95,2969794
2017-06-20,1433.0,1455.4,1426.15,1447.05,1982771
2017-06-21,1438.0,1445.15,1426.6,1432.7,1905781
2017-06-22,1438.9,1470.0,1437.35,1452.0,3085982
2017-06-23,1453.7,1458.3,1431.2,1435.4,1360524
2017-06-27,1455.0,1455.4,1405.05,1415.5,2026316
2017-06-28,1414.4,1459.05,1401.5,1449.7,2723464
2017-06-29,1459.9,1470.0,1433.85,1438.5,2619863
2017-06-30,1438.0,1466.85,1425.0,1463.5,2092369
2017-07-03,1469.8,1496.0,1452.0,1492.75,2176784
2017-07-04,1507.8,1512.0,1480.0,1485.05,2193234
2017-07-05,1489.1,1509.7,1487.0,1505.95,1826575
2017-07-06,1501.0,1519.0,1495.0,1504.05,1438599
2017-07-07,1502.65,1515.2,1497.6,1505.75,1231673
2017-07-10,1512.0,1522.0,1500.9,1512.9,315651
2017-07-11,1515.25,1533.0,1508.0,1514.8,1982020
2017-07-12,1516.0,1522.7,1505.0,1515.45,1613612
2017-07-13,1518.0,1588.0,1518.0,1582.0,4158281
2017-07-14,1591.85,1594.85,1554.2,1564.6,2073301
2017-07-17,1569.7,1574.9,1543.4,1547.45,1097877
2017-07-18,1549.7,1577.45,1545.1,1557.8,1432358
2017-07-19,1561.0,1576.5,1551.1,1570.15,2109966
2017-07-20,1572.0,1579.0,1561.2,1571.6,1647855
2017-07-21,1572.0,1581.45,1565.0,1577.65,1065082
2017-07-24,1578.0,1619.0,1576.95,1593.25,2515226
2017-07-25,1596.7,1623.7,1586.1,1617.85,2565352
2017-07-26,1624.7,1724.0,1605.25,1711.95,8549142
2017-07-27,1747.25,1798.0,1742.0,1785.85,11808681
2017-07-28,1765.0,1861.0,1765.0,1841.85,8553332
2017-07-31,1850.0,1858.0,1803.15,1809.5,4353547
2017-08-01,1818.7,1838.0,1809.15,1827.25,2910564
2017-08-02,1830.0,1842.95,1813.05,1829.0,2013175
2017-08-03,1822.0,1828.9,1772.3,1785.45,2997605
2017-08-04,1770.0,1815.25,1763.55,1807.95,2860985
2017-08-07,1810.0,1817.0,1793.75,1799.85,1331197
2017-08-08,1799.0,1802.0,1754.0,1763.55,2329546
2017-08-09,1756.0,1774.45,1736.0,1741.55,1982487
2017-08-10,1741.55,1744.2,1710.1,1730.1,2132127
2017-08-11,1707.0,1757.3,1702.15,1739.4,3102129
2017-08-14,1752.0,1786.0,1750.2,1778.5,1985201
2017-08-16,1784.05,1789.0,1732.0,1761.85,3744611
2017-08-17,1779.0,1779.0,1729.3,1738.1,1913591
2017-08-18,1734.9,1737.3,1708.3,1720.75,1678905
2017-08-21,1721.0,1753.0,1710.1,1716.7,1432922
2017-08-22,1732.0,1732.0,1686.0,1712.9,2753748
2017-08-23,1718.7,1728.0,1697.6,1723.25,2243348
2017-08-24,1727.8,1738.95,1714.4,1719.45,1773053
2017-08-28,1723.0,1757.8,1711.6,1753.35,1949997
2017-08-29,1752.0,1753.35,1716.05,1721.55,1762697
2017-08-30,1731.55,1765.0,1731.05,1752.1,1972851
2017-08-31,1750.0,1774.4,1745.05,1753.05,2566761
2017-09-01,1753.35,1780.0,1753.35,1776.45,1599414
2017-09-04,1770.5,1779.65,1737.05,1764.1,1720102
2017-09-05,1767.0,1787.8,1765.0,1778.25,1612958
2017-09-06,1770.0,1804.8,1762.3,1793.95,1886851
2017-09-07,1801.8,1819.0,1792.4,1800.0,1779055
2017-09-08,1807.0,1807.7,1780.25,1789.0,1080596
2017-09-11,1796.25,1865.75,1794.25,1842.05,3341236
2017-09-12,1854.9,1858.85,1822.0,1850.75,2135213
2017-09-13,1852.0,1862.0,1832.6,1839.0,1374376
2017-09-14,1845.4,1866.0,1840.2,1851.55,1270184
2017-09-15,1828.4,1859.0,1827.3,1845.05,1632078
2017-09-18,1852.1,1872.0,1851.0,1859.15,1424165
2017-09-19,1861.4,1872.0,1847.15,1866.5,1124478
2017-09-20,1865.0,1886.0,1861.0,1880.1,1209930
2017-09-21,375.3,382.9,373.35,377.05,7307710
2017-09-22,376.8,376.8,359.45,360.65,12176561
2017-09-25,361.0,363.7,349.0,359.6,9426506
2017-09-26,361.0,363.0,355.7,360.75,6184763
2017-09-27,364.9,364.9,350.75,353.2,8301438
2017-09-28,353.5,355.45,347.3,350.8,11672921
2017-09-29,353.7,353.9,345.1,350.0,10421179
2017-10-03,354.9,354.9,347.5,351.05,8078173
2017-10-04,352.7,357.5,351.05,355.8,7252399
2017-10-05,357.3,367.5,357.0,359.45,10552658
2017-10-06,360.6,366.8,360.6,365.8,4977073
2017-10-09,367.9,372.65,363.15,370.9,5402776
2017-10-10,372.0,374.0,371.0,372.9,5475930
2017-10-11,374.2,375.0,362.0,363.0,7532154
2017-10-12,363.1,367.65,359.0,365.4,7573094
2017-10-13,366.0,373.05,365.95,369.7,5848807
2017-10-16,374.0,374.2,365.75,367.7,5086334
2017-10-17,369.0,375.9,368.0,373.55,6984827
2017-10-18,366.0,368.0,359.0,362.4,12849346
2017-10-19,364.4,365.3,355.0,357.8,1935015
2017-10-23,358.0,364.55,351.0,353.9,9451524
2017-10-24,355.7,363.4,344.6,347.6,12420114
2017-10-25,356.0,356.0,312.85,326.9,33427154
2017-10-26,331.9,338.65,318.0,331.2,26581626
2017-10-27,307.0,313.5,298.55,307.05,80906668
2017-10-30,311.5,317.45,308.1,314.85,23574790
2017-10-31,317.5,319.25,311.3,314.25,11811133
2017-11-01,317.0,320.5,316.45,318.8,9265421
2017-11-02,321.0,323.9,318.2,320.45,9244908
2017-11-03,322.45,328.0,321.7,325.95,12865964
2017-11-06,327.0,329.0,317.8,319.65,9427134
2017-11-07,323.0,323.0,305.5,311.7,30444032
2017-11-08,313.2,313.65,301.85,303.8,25323557
2017-11-09,305.95,308.8,302.0,304.65,15467103
2017-11-10,305.0,309.9,302.0,304.05,11561127
2017-11-13,306.75,307.95,303.05,303.75,6538482
2017-11-14,305.0,306.35,302.0,302.55,9724235
2017-11-15,302.8,305.8,295.6,300.95,13048729
2017-11-16,302.9,303.95,297.5,301.3,9008654
2017-11-17,308.0,314.4,305.1,306.1,18464900
2017-11-20,309.45,314.0,308.2,313.35,9652806
2017-11-21,316.0,318.0,310.7,312.3,9635431
2017-11-22,315.6,315.8,307.0,309.75,6979712
2017-11-23,310.0,316.35,307.15,313.25,7091441
2017-11-24,315.0,315.95,312.05,313.05,7331839
2017-11-27,312.0,316.0,309.5,315.3,5301460
2017-11-28,314.5,316.9,313.65,315.0,5342555
2017-11-29,315.0,316.0,310.95,312.9,5457734
2017-11-30,311.0,311.95,305.0,306.9,9124083
2017-12-01,307.8,309.9,305.1,306.85,6121307
2017-12-04,307.8,308.2,301.65,303.2,6436175
2017-12-05,302.15,310.0,300.6,308.7,7558058
2017-12-06,306.8,309.9,304.6,306.45,6114939
2017-12-07,306.55,311.95,306.55,310.5,5794382
2017-12-08,312.0,315.5,311.0,312.7,8434605
2017-12-11,313.5,315.8,310.6,311.6,4416465
2017-12-12,312.0,312.0,305.9,306.8,5457103
2017-12-13,306.35,307.35,301.05,301.9,6911856
2017-12-14,303.9,304.65,301.75,303.9,4904177
2017-12-15,307.0,317.45,307.0,315.9,20571225
2017-12-18,315.9,318.0,305.3,311.15,13690080
2017-12-19,314.0,314.4,309.55,312.25,6290291
2017-12-20,312.4,313.4,310.0,311.7,6605913
2017-12-21,311.2,313.95,309.4,310.45,7130623
2017-12-22,310.5,313.5,308.7,310.15,7895699
2017-12-26,310.5,317.9,310.2,315.5,9269961
2017-12-27,316.65,318.95,313.35,315.15,8912485
2017-12-28,314.0,316.0,311.8,313.5,7927990
2017-12-29,313.5,315.8,312.8,315.15,4718184
2018-01-01,315.5,317.75,311.3,312.6,4019878
2018-01-02,313.4,314.0,307.15,311.65,5224976
2018-01-03,312.0,316.5,311.15,315.85,5672263
2018-01-04,316.0,318.4,313.0,317.1,5667580
2018-01-05,317.5,337.9,317.45,332.85,30720675
2018-01-08,336.0,341.3,331.3,333.6,12747890
2018-01-09,334.9,342.8,327.55,341.35,13282560
2018-01-10,341.5,342.35,335.45,339.8,10385044
2018-01-11,339.0,344.25,335.3,343.15,8266266
2018-01-12,344.1,344.7,337.55,340.9,5688676
2018-01-15,341.9,343.7,335.1,336.0,7142164
2018-01-16,336.0,338.75,328.0,334.85,7296505
2018-01-17,335.1,343.5,331.4,342.4,7985222
2018-01-18,350.0,356.9,332.35,341.2,35465087
2018-01-19,347.5,352.25,339.1,349.35,21425789
2018-01-22,349.95,358.25,348.75,355.35,13456538
2018-01-23,359.85,360.4,352.3,359.55,10196645
2018-01-24,357.0,366.3,356.0,364.8,11258771
2018-01-25,364.5,364.5,355.65,361.6,8963188
2018-01-29,361.2,363.7,355.55,358.0,7931235
2018-01-30,358.0,360.8,351.85,353.35,7890491
2018-01-31,353.0,356.55,350.45,354.4,8527044
2018-02-01,355.0,367.25,352.65,359.9,15217926
2018-02-02,354.2,356.0,341.8,349.05,16298953
2018-02-05,340.0,349.0,333.6,343.6,13407059
2018-02-06,325.0,342.9,324.0,338.75,12557261
2018-02-07,344.0,344.0,330.6,332.9,11681640
2018-02-08,332.9,340.35,331.5,335.0,7785799
2018-02-09,330.0,331.45,324.0,325.55,9395513
2018-02-12,326.6,337.2,326.6,335.4,12049356
2018-02-14,336.0,337.85,318.95,320.35,13548524
2018-02-15,321.2,328.8,317.7,319.8,15482667
2018-02-16,324.0,325.0,309.65,311.8,18611798
2018-02-19,313.85,315.0,307.55,312.05,9311433
2018-02-20,314.35,316.1,307.5,308.7,11389041
2018-02-21,311.0,313.9,304.5,312.35,13342678
2018-02-22,311.9,316.9,308.15,316.1,14787238
2018-02-23,316.45,326.0,316.45,323.45,11399732
2018-02-26,326.5,328.2,319.35,326.15,9225197
2018-02-27,325.3,334.25,325.0,327.15,15104405
2018-02-28,323.0,325.2,318.05,322.3,10985771
2018-03-01,322.1,326.0,318.35,321.05,7333939
2018-03-05,318.5,319.0,311.15,312.95,7973146
2018-03-06,317.0,320.5,309.85,312.15,8299126
2018-03-07,312.0,314.9,308.0,311.95,8420190
2018-03-08,312.3,313.25,294.7,308.55,24027679
2018-03-09,310.0,310.95,301.3,303.25,11596136
2018-03-12,305.2,314.5,301.35,311.15,12860205
2018-03-13,310.0,315.4,309.8,312.8,11436348
2018-03-14,311.8,321.9,308.2,318.85,12905495
2018-03-15,318.95,321.0,310.85,311.85,9999620
2018-03-16,312.4,316.85,310.0,312.9,17094363
2018-03-19,316.0,316.5,302.5,304.8,11267355
2018-03-20,303.0,305.8,299.7,302.4,9874137
2018-03-21,305.0,309.05,300.05,300.75,13383435
2018-03-22,301.8,303.7,295.75,298.25,19356591
2018-03-23,293.0,293.05,285.0,286.65,21617995
2018-03-26,286.5,304.9,286.0,303.35,24240033
2018-03-27,307.0,309.25,300.7,303.5,15267419
2018-03-28,300.15,307.5,299.1,304.85,14952643
2018-04-02,307.0,308.5,303.6,306.25,8844027
2018-04-03,306.45,314.2,304.0,313.1,10392997
2018-04-04,313.0,320.0,304.0,305.45,13516525
2018-04-05,311.8,315.6,307.8,313.05,11449637
2018-04-06,314.7,316.0,311.6,314.5,8598435
2018-04-09,316.0,319.9,314.4,316.25,14002415
2018-04-10,320.1,320.5,315.0,319.25,9976629
2018-04-11,320.0,320.0,310.5,312.0,9921987
2018-04-12,312.2,313.35,308.0,311.75,11359462
2018-04-13,312.6,314.45,305.7,309.55,12849690
2018-04-16,307.0,311.1,306.45,310.35,10808237
2018-04-17,311.9,313.35,307.25,307.9,12509310
2018-04-18,311.0,313.7,308.75,309.55,11323144
2018-04-19,311.0,319.5,309.0,318.5,13498117
2018-04-20,317.7,317.7,306.05,308.55,21800867
2018-04-23,310.9,317.0,309.0,313.05,10927239
2018-04-24,314.0,328.8,314.0,324.0,24392058
2018-04-25,323.75,328.5,317.45,325.25,15370686
2018-04-26,327.95,360.25,323.6,352.4,62364794
2018-04-27,365.0,369.0,345.1,348.9,52230752
2018-04-30,350.9,367.2,350.3,362.0,28400085
2018-05-02,361.95,364.7,351.7,354.25,13058846
2018-05-03,354.0,359.25,346.5,353.95,15431044
2018-05-04,354.5,357.75,344.2,345.1,12241946
2018-05-07,347.8,350.0,342.65,347.9,6781161
2018-05-08,350.0,353.95,340.5,343.3,11670852
2018-05-09,344.45,349.75,343.2,347.85,9802803
2018-05-10,350.95,350.95,342.65,344.65,7330619
2018-05-11,346.5,351.8,341.8,350.25,7642090
2018-05-14,350.8,353.8,343.1,344.8,7468232
2018-05-15,346.0,354.6,343.6,345.75,12805393
2018-05-16,344.0,356.45,342.0,349.75,12708109
2018-05-17,351.5,352.0,344.0,345.3,6702419
2018-05-18,346.5,348.8,343.1,345.5,8938377
2018-05-21,346.0,349.2,333.05,334.15,8748958
2018-05-22,334.1,340.75,331.0,334.7,10869535
2018-05-23,335.0,338.75,331.5,333.7,7738850
2018-05-24,336.7,337.0,325.6,330.0,8077461
2018-05-25,333.0,341.9,332.0,339.4,6957024
2018-05-28,341.5,348.25,340.75,345.2,8982939
2018-05-29,344.4,345.9,335.1,338.05,7870400
2018-05-30,335.75,344.0,332.65,343.15,10036644
2018-05-31,345.4,349.4,338.0,346.2,17910411
2018-06-01,347.0,348.7,340.25,342.7,9470256
2018-06-04,343.9,350.9,342.0,342.95,14501600
2018-06-05,342.5,342.75,333.65,336.75,8492155
2018-06-06,337.95,340.55,332.55,339.15,8211104
2018-06-07,341.2,345.5,338.0,339.55,9630695
2018-06-08,337.5,340.25,335.05,337.65,5851442
2018-06-11,338.6,344.85,334.7,335.7,11980621
2018-06-12,335.7,337.95,331.2,332.2,9851496
2018-06-13,336.9,336.9,331.5,333.2,7530350
2018-06-14,333.0,338.35,330.55,337.2,6819965
2018-06-15,333.0,336.2,328.65,330.65,8518379
2018-06-18,330.8,333.85,327.7,331.65,6785348
2018-06-19,330.95,334.5,328.5,330.9,8566372
2018-06-20,331.9,337.0,331.4,336.1,7720519
2018-06-21,336.8,337.6,331.2,332.95,5133865
2018-06-22,333.6,335.7,329.5,335.1,6006046
2018-06-25,334.75,338.95,332.9,334.15,5792052
2018-06-26,333.1,337.75,332.05,335.95,4706265
2018-06-27,336.0,337.75,331.05,335.6,6930662
2018-06-28,336.4,336.4,327.3,329.3,8130250
2018-06-29,330.7,341.75,329.65,339.65,8963268
2018-07-02,338.05,341.7,332.35,337.05,8091469
2018-07-03,337.7,340.5,335.3,336.9,4998778
2018-07-04,337.0,337.5,332.5,335.55,4507001
2018-07-05,338.75,350.8,338.6,348.65,21239763
2018-07-06,348.3,357.7,347.0,352.6,17790500
2018-07-09,356.1,366.9,355.0,363.3,16834621
2018-07-10,363.9,373.1,360.0,371.4,20404168
2018-07-11,370.95,373.35,367.45,371.6,9423127
2018-07-12,372.5,385.0,372.5,374.8,17868601
2018-07-13,376.9,380.3,367.3,376.0,15448753
2018-07-16,376.0,380.8,369.6,378.5,9093938
2018-07-17,377.9,385.9,375.6,380.8,12586691
2018-07-18,381.9,388.0,378.0,383.65,10472260
2018-07-19,380.95,394.35,379.4,392.3,17050256
2018-07-20,391.1,392.5,385.3,386.5,10076070
2018-07-23,387.9,392.35,382.75,386.6,9511403
2018-07-24,389.2,390.0,382.7,384.35,9785989
2018-07-25,386.0,392.7,381.5,382.9,12467278
2018-07-26,385.0,386.3,358.55,369.75,35251243
2018-07-27,374.9,374.9,362.4,370.0,17100821
2018-07-30,372.0,373.0,365.25,369.3,11469162
2018-07-31,370.0,374.7,366.4,367.95,9734450
2018-08-01,369.9,371.55,362.0,365.85,7742871
2018-08-02,364.95,365.65,356.65,361.8,8365895
2018-08-03,364.0,374.0,364.0,373.2,10625834
2018-08-06,374.0,380.7,373.45,377.9,12018227
2018-08-07,380.0,386.4,376.5,381.65,13526041
2018-08-08,382.6,385.75,379.55,382.75,6767532
2018-08-09,383.5,384.7,377.65,381.05,5854134
2018-08-10,382.0,391.0,381.0,382.85,13916077
2018-08-13,379.0,383.0,368.3,370.7,9205915
2018-08-14,369.0,384.3,368.15,382.5,12351125
2018-08-16,381.2,384.85,374.2,378.45,11567658
2018-08-17,382.4,395.65,380.3,393.2,16094026
2018-08-20,396.8,404.0,392.55,394.0,15247130
2018-08-21,396.0,397.45,389.5,391.35,9991245
2018-08-23,395.25,395.5,383.35,388.6,9262319
2018-08-24,387.0,388.7,372.85,374.2,16301075
2018-08-27,378.0,384.65,377.0,383.0,9563369
2018-08-28,386.0,386.0,362.8,370.6,26309238
2018-08-29,373.65,378.55,362.0,365.15,30544751
2018-08-30,369.0,369.0,358.0,361.75,28157288
2018-08-31,343.0,350.0,336.25,343.5,84019022
2018-09-03,347.95,348.0,337.2,339.05,26137760
2018-09-04,340.75,343.4,332.55,334.05,22057643
2018-09-05,332.9,344.9,332.25,343.8,24809578
2018-09-06,346.55,347.8,337.9,339.2,17527530
2018-09-07,341.0,341.05,321.8,323.4,48830425
2018-09-10,323.65,328.9,316.0,323.65,43295622
2018-09-11,326.0,327.85,314.6,316.6,28553718
2018-09-12,318.0,319.95,310.6,314.3,26121445
2018-09-14,318.5,328.5,316.7,323.1,36624891
2018-09-17,317.5,321.85,315.95,318.6,18554055
2018-09-18,319.35,328.95,319.1,323.55,30243505
2018-09-19,326.0,328.75,318.05,319.2,16185496
2018-09-21,287.3,287.3,218.1,226.5,293552756
2018-09-24,236.5,237.5,215.85,226.4,105701372
2018-09-25,230.0,238.85,197.25,219.7,110217421
2018-09-26,223.0,229.8,217.0,223.75,62814786
2018-09-27,226.0,227.0,202.05,203.25,91197198
2018-09-28,203.6,204.0,165.0,183.65,148654874
2018-10-01,180.0,203.8,170.6,200.85,130992623
2018-10-03,205.0,222.95,202.25,212.75,97945695
2018-10-04,209.4,220.0,205.05,215.0,65604016
2018-10-05,215.0,218.5,203.1,206.0,40546788
2018-10-08,210.0,226.6,207.4,221.2,62349640
2018-10-09,225.5,233.8,222.6,224.65,49480210
2018-10-10,229.0,237.0,219.4,233.9,52351177
2018-10-11,222.0,268.95,216.65,240.2,94679663
2018-10-12,247.0,254.4,244.5,246.45,43535321
2018-10-15,248.95,250.6,241.55,246.0,24694397
2018-10-16,247.0,251.4,245.6,248.9,18099074
2018-10-17,252.5,254.85,228.5,231.9,37767849
2018-10-19,225.0,230.55,213.0,217.9,50336402
2018-10-22,221.0,222.35,208.5,211.5,33633639
2018-10-23,209.0,216.7,206.5,213.2,28293781
2018-10-24,217.5,220.0,202.0,204.0,38009322
2018-10-25,202.6,207.5,195.0,198.35,59170164
2018-10-26,178.55,191.65,168.6,180.7,95760078
2018-10-29,185.0,185.9,174.75,181.3,52331613
2018-10-30,182.0,189.9,180.65,182.05,43428186
2018-10-31,185.0,189.5,179.65,188.1,53264490
2018-11-01,192.0,205.75,189.05,204.05,69202992
2018-11-02,212.75,215.9,207.65,209.1,51686587
2018-11-05,209.0,212.35,206.1,210.1,21134350
2018-11-06,212.25,217.9,211.0,214.45,26924066
2018-11-07,217.45,218.0,215.5,215.95,3962712
2018-11-09,214.0,229.4,213.2,227.9,40754087
2018-11-12,230.0,230.85,221.1,223.05,29069172
2018-11-13,222.0,226.85,220.0,225.45,19014119
2018-11-14,226.9,229.0,221.0,222.4,19780790
2018-11-15,215.0,217.95,202.25,205.85,60944632
2018-11-16,201.75,201.75,187.8,191.0,88101871
2018-11-19,198.1,205.95,194.35,204.8,64329717
2018-11-20,198.0,199.75,191.0,192.1,77354754
2018-11-21,196.1,200.8,194.6,198.15,47627190
2018-11-22,200.0,203.85,194.65,195.55,44350629
2018-11-26,189.0,191.95,182.2,187.9,60418383
2018-11-27,193.0,193.8,180.35,182.65,70065939
2018-11-28,180.4,181.0,160.3,162.1,140720495
2018-11-29,157.05,167.0,146.75,160.45,292043464
