"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","16-May-2017","       1472.05","       1476.50","       1500.00","       1468.10","       1477.10","       1483.40","       1481.94","    2779811","          4119511546.80","     109156","    1332784","         47.95"
"YESBANK","EQ","17-May-2017","       1483.40","       1483.95","       1483.95","       1451.05","       1455.40","       1454.65","       1461.33","    3409548","          4982471292.15","     126671","    1766473","         51.81"
"YESBANK","EQ","18-May-2017","       1454.65","       1438.00","       1443.90","       1393.00","       1397.55","       1401.15","       1418.63","    4999486","          7092410139.35","     158467","    2739845","         54.80"
"YESBANK","EQ","19-May-2017","       1401.15","       1412.75","       1455.00","       1405.25","       1430.35","       1430.10","       1432.12","    5976947","          8559734880.40","     146621","    2961130","         49.54"
"YESBANK","EQ","22-May-2017","       1430.10","       1443.80","       1450.55","       1398.00","       1409.70","       1405.80","       1418.12","    2527715","          3584606017.75","      72112","    1075214","         42.54"
"YESBANK","EQ","23-May-2017","       1405.80","       1411.00","       1418.00","       1376.25","       1400.00","       1403.15","       1399.64","    2874605","          4023410672.90","      88929","    1142145","         39.73"
"YESBANK","EQ","24-May-2017","       1403.15","       1408.05","       1444.00","       1398.05","       1427.20","       1425.05","       1427.22","    2979073","          4251797180.75","     109845","     848867","         28.49"
"YESBANK","EQ","25-May-2017","       1425.05","       1434.00","       1470.00","       1430.60","       1456.00","       1464.25","       1454.82","    3908523","          5686201795.35","      92627","    2039543","         52.18"
"YESBANK","EQ","26-May-2017","       1464.25","       1469.80","       1500.00","       1455.05","       1492.00","       1493.60","       1490.79","    2496569","          3721855349.80","      69840","    1056997","         42.34"
"YESBANK","EQ","29-May-2017","       1493.60","       1493.60","       1493.70","       1433.15","       1435.90","       1438.30","       1454.10","    2027477","          2948162604.35","      70988","     794304","         39.18"
"YESBANK","EQ","30-May-2017","       1438.30","       1436.00","       1461.00","       1432.05","       1438.05","       1438.35","       1443.65","    1662115","          2399514153.35","      77601","     557051","         33.51"
"YESBANK","EQ","31-May-2017","       1438.35","       1442.00","       1448.40","       1409.25","       1434.15","       1431.35","       1427.92","    2394802","          3419590381.20","     116350","    1105626","         46.17"
"YESBANK","EQ","01-Jun-2017","       1431.35","       1430.00","       1450.00","       1421.05","       1444.10","       1444.60","       1436.62","    2107031","          3027010411.40","      66654","     892576","         42.36"
"YESBANK","EQ","02-Jun-2017","       1444.60","       1456.70","       1487.50","       1445.30","       1478.00","       1481.75","       1470.75","    2601728","          3826487895.90","     106712","    1034881","         39.78"
"YESBANK","EQ","05-Jun-2017","       1481.75","       1483.00","       1526.30","       1481.75","       1521.35","       1523.55","       1513.40","    3285941","          4972933257.80","     103362","    1428180","         43.46"
"YESBANK","EQ","06-Jun-2017","       1523.55","       1525.00","       1532.45","       1498.80","       1501.05","       1506.15","       1512.29","    1682050","          2543750923.15","      52110","     666555","         39.63"
"YESBANK","EQ","07-Jun-2017","       1506.15","       1519.95","       1520.15","       1481.10","       1494.50","       1493.75","       1492.76","    1849080","          2760224157.10","      56847","     554085","         29.97"
"YESBANK","EQ","08-Jun-2017","       1493.75","       1499.00","       1501.70","       1467.35","       1475.00","       1476.20","       1478.93","    1911432","          2826868666.90","      72829","     823097","         43.06"
"YESBANK","EQ","09-Jun-2017","       1476.20","       1479.70","       1498.95","       1475.20","       1489.25","       1488.80","       1487.30","    2016761","          2999526172.80","      64286","     810280","         40.18"
