Symbol,Series,Date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
YESBANK,EQ,27-Apr-2017,1582.05,1585,1651.9,1573.95,1638.75,1642.4,1622.47,4221491,6849254377.25,108381,1501211,35.56
YESBANK,EQ,28-Apr-2017,1642.4,1639.55,1644.65,1621.8,1635.9,1630.25,1630.7,1335961,2178556223.5,51091,570614,42.71
YESBANK,EQ,02-May-2017,1630.25,1632,1651.8,1623.55,1630,1633.9,1638.77,1645639,2696830349.55,78354,778036,47.28
YESBANK,EQ,03-May-2017,1633.9,1637.7,1641.45,1615.6,1630,1632.95,1627.39,981337,1597014894.75,39561,291818,29.74
YESBANK,EQ,04-May-2017,1632.95,1632.55,1640,1620.1,1628,1626.85,1629.03,1011962,1648516036.55,47427,357936,35.37
YESBANK,EQ,05-May-2017,1626.85,1626,1631,1604.35,1611.5,1608.75,1613.26,977720,1577315392.4,41585,337929,34.56
YESBANK,EQ,08-May-2017,1608.75,1614,1634,1609.05,1616.25,1615.45,1622.36,842580,1366968858.6,40394,346612,41.14
YESBANK,EQ,09-May-2017,1615.45,1616.05,1616.6,1592.15,1608,1602.5,1601.85,977933,1566505133.8,34652,408255,41.75
YESBANK,EQ,10-May-2017,1602.5,1606,1614.95,1584.1,1599,1598.4,1597.92,1950437,3116648879.75,47607,1075706,55.15
YESBANK,EQ,11-May-2017,1598.4,1608,1608,1575,1578.5,1577.3,1589.52,1669314,2653404795.55,85870,1009440,60.47
YESBANK,EQ,12-May-2017,1577.3,1581,1591.8,1469.25,1491,1483.1,1515.48,10279727,15578682329.25,245186,3689593,35.89
YESBANK,EQ,15-May-2017,1483.1,1496.9,1506,1453.55,1474,1472.05,1476.98,6077544,8976423007.1,183074,2228727,36.67
YESBANK,EQ,16-May-2017,1472.05,1476.5,1500,1468.1,1477.1,1483.4,1481.94,2779811,4119511546.8,109156,1332784,47.95
YESBANK,EQ,17-May-2017,1483.4,1483.95,1483.95,1451.05,1455.4,1454.65,1461.33,3409548,4982471292.15,126671,1766473,51.81
YESBANK,EQ,18-May-2017,1454.65,1438,1443.9,1393,1397.55,1401.15,1418.63,4999486,7092410139.35,158467,2739845,54.8
